Date (UTC),Timestamp (UTC),<1.0%,1.0–1.5%,1.5–2.0%,2.0–2.5%,2.5–3.0%,3.0–3.5%,≥3.5%
01-02-2026 05:00,1767330000,0.05,0.205,0.215,0.14,0.2,0.13,0.135
01-02-2026 06:00,1767333600,0.05,0.19,0.215,0.155,0.22,0.135,0.13
01-02-2026 07:00,1767337200,0.035,0.215,0.215,0.135,0.21,0.13,0.125
01-02-2026 08:00,1767340800,0.0365,0.195,0.22,0.145,0.215,0.135,0.135
01-02-2026 09:00,1767344400,0.0455,0.2,0.22,0.145,0.215,0.135,0.13
01-02-2026 10:00,1767348000,0.0455,0.19,0.22,0.145,0.22,0.135,0.13
01-02-2026 11:00,1767351600,0.076,0.16,0.195,0.18,0.215,0.135,0.135
01-02-2026 12:00,1767355200,0.0765,0.16,0.195,0.19,0.215,0.135,0.13
01-02-2026 13:00,1767358800,0.0745,0.16,0.195,0.2,0.235,0.13,0.13
01-02-2026 14:00,1767362400,0.0665,0.145,0.185,0.18,0.21,0.13,0.13
01-02-2026 15:00,1767366000,0.0755,0.16,0.185,0.18,0.23,0.125,0.125
01-02-2026 16:00,1767369600,0.072,0.155,0.185,0.18,0.23,0.13,0.125
01-02-2026 17:00,1767373200,0.0705,0.155,0.185,0.18,0.23,0.13,0.125
01-02-2026 18:00,1767376800,0.0755,0.155,0.185,0.18,0.235,0.125,0.125
01-02-2026 19:00,1767380400,0.0725,0.155,0.185,0.18,0.24,0.125,0.125
01-02-2026 20:00,1767384000,0.073,0.155,0.185,0.18,0.19,0.13,0.13
01-02-2026 21:00,1767387600,0.073,0.165,0.19,0.18,0.17,0.13,0.13
01-02-2026 22:00,1767391200,0.0725,0.155,0.19,0.18,0.17,0.13,0.13
01-02-2026 23:00,1767394800,0.0755,0.16,0.19,0.18,0.185,0.13,0.13
01-03-2026 00:00,1767398400,0.0755,0.16,0.19,0.18,0.195,0.13,0.13
01-03-2026 02:00,1767405600,0.0755,0.16,0.19,0.18,0.14,0.13,0.13
01-03-2026 03:00,1767409200,0.0755,0.16,0.19,0.18,0.175,0.13,0.13
01-03-2026 04:00,1767412800,0.0755,0.16,0.19,0.18,0.16,0.13,0.13
01-03-2026 05:00,1767416400,0.0755,0.16,0.19,0.18,0.18,0.13,0.13
01-03-2026 06:00,1767420000,0.0755,0.16,0.19,0.18,0.18,0.13,0.13
01-03-2026 07:00,1767423600,0.0755,0.16,0.19,0.18,0.2,0.13,0.13
01-03-2026 08:00,1767427200,0.0755,0.16,0.185,0.175,0.18,0.13,0.13
01-03-2026 09:00,1767430800,0.0755,0.155,0.185,0.18,0.145,0.125,0.13
01-03-2026 10:00,1767434400,0.0755,0.16,0.185,0.18,0.175,0.125,0.13
01-03-2026 11:00,1767438000,0.0755,0.165,0.185,0.18,0.165,0.125,0.13
01-03-2026 12:00,1767441600,0.0755,0.16,0.185,0.18,0.145,0.125,0.13
01-03-2026 13:00,1767445200,0.0755,0.16,0.185,0.18,0.155,0.125,0.13
01-03-2026 14:00,1767448800,0.0755,0.16,0.185,0.18,0.185,0.125,0.13
01-03-2026 15:00,1767452400,0.0755,0.16,0.185,0.18,0.165,0.125,0.13
01-03-2026 16:00,1767456000,0.0755,0.16,0.185,0.18,0.155,0.125,0.13
01-03-2026 17:00,1767459600,0.077,0.16,0.185,0.18,0.17,0.125,0.13
01-03-2026 18:00,1767463200,0.0805,0.16,0.185,0.18,0.17,0.125,0.13
01-03-2026 19:00,1767466800,0.0835,0.16,0.185,0.18,0.145,0.125,0.13
01-03-2026 20:00,1767470400,0.0835,0.16,0.185,0.18,0.165,0.125,0.13
01-03-2026 21:00,1767474000,0.0835,0.16,0.185,0.18,0.155,0.125,0.13
01-03-2026 22:00,1767477600,0.0835,0.16,0.185,0.18,0.155,0.125,0.13
01-03-2026 23:00,1767481200,0.0835,0.16,0.185,0.18,0.16,0.125,0.13
01-04-2026 00:00,1767484800,0.0875,0.16,0.185,0.18,0.15,0.125,0.13
01-04-2026 01:00,1767488400,0.092,0.155,0.185,0.18,0.155,0.125,0.13
01-04-2026 02:00,1767492000,0.0935,0.15,0.185,0.18,0.145,0.125,0.13
01-04-2026 03:00,1767495600,0.093,0.155,0.185,0.18,0.18,0.12,0.125
01-04-2026 04:00,1767499200,0.093,0.155,0.185,0.18,0.18,0.12,0.125
01-04-2026 05:00,1767502800,0.093,0.155,0.185,0.18,0.185,0.12,0.125
01-04-2026 06:00,1767506400,0.093,0.165,0.185,0.18,0.185,0.12,0.125
01-04-2026 07:00,1767510000,0.072,0.155,0.185,0.18,0.2,0.12,0.125
01-04-2026 08:00,1767513600,0.073,0.16,0.185,0.18,0.195,0.12,0.125
01-04-2026 09:00,1767517200,0.075,0.155,0.185,0.18,0.195,0.12,0.125
01-04-2026 10:00,1767520800,0.073,0.155,0.185,0.185,0.18,0.12,0.125
01-04-2026 11:00,1767524400,0.0705,0.155,0.185,0.185,0.22,0.12,0.125
01-04-2026 12:00,1767528000,0.0665,0.15,0.185,0.18,0.185,0.12,0.125
01-04-2026 13:00,1767531600,0.0705,0.155,0.185,0.185,0.18,0.12,0.125
01-04-2026 14:00,1767535200,0.0695,0.155,0.185,0.185,0.19,0.12,0.125
01-04-2026 15:00,1767538800,0.0695,0.155,0.185,0.185,0.19,0.12,0.125
01-04-2026 16:00,1767542400,0.0695,0.155,0.185,0.185,0.19,0.12,0.125
01-04-2026 17:00,1767546000,0.0695,0.155,0.185,0.185,0.19,0.12,0.125
01-04-2026 18:00,1767549600,0.0695,0.155,0.185,0.185,0.185,0.12,0.125
01-04-2026 19:00,1767553200,0.0695,0.15,0.185,0.185,0.18,0.12,0.125
01-04-2026 20:00,1767556800,0.0695,0.15,0.185,0.185,0.18,0.12,0.125
01-04-2026 21:00,1767560400,0.0695,0.145,0.185,0.185,0.18,0.12,0.125
01-04-2026 22:00,1767564000,0.0695,0.15,0.185,0.185,0.175,0.12,0.125
01-04-2026 23:00,1767567600,0.0695,0.155,0.185,0.185,0.18,0.115,0.115
01-05-2026 00:00,1767571200,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 01:00,1767574800,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 02:00,1767578400,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 03:00,1767582000,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 04:00,1767585600,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 05:00,1767589200,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 06:00,1767592800,0.0695,0.15,0.185,0.18,0.185,0.115,0.115
01-05-2026 07:00,1767596400,0.0695,0.15,0.185,0.18,0.185,0.12,0.12
01-05-2026 08:00,1767600000,0.0695,0.15,0.185,0.185,0.18,0.12,0.12
01-05-2026 09:00,1767603600,0.0695,0.15,0.185,0.19,0.175,0.12,0.12
01-05-2026 10:00,1767607200,0.0695,0.15,0.185,0.18,0.205,0.12,0.12
01-05-2026 11:00,1767610800,0.0695,0.15,0.185,0.185,0.2,0.12,0.12
01-05-2026 12:00,1767614400,0.0695,0.15,0.185,0.185,0.19,0.12,0.12
01-05-2026 13:00,1767618000,0.0695,0.15,0.185,0.185,0.2,0.12,0.12
01-05-2026 14:00,1767621600,0.0695,0.15,0.185,0.185,0.2,0.12,0.12
01-05-2026 15:00,1767625200,0.0695,0.15,0.185,0.185,0.21,0.12,0.12
01-05-2026 16:00,1767628800,0.0695,0.15,0.185,0.18,0.205,0.12,0.12
01-05-2026 17:00,1767632400,0.0695,0.15,0.185,0.185,0.2,0.12,0.12
01-05-2026 18:00,1767636000,0.0695,0.15,0.185,0.185,0.2,0.12,0.12
01-05-2026 19:00,1767639600,0.0695,0.15,0.185,0.185,0.185,0.12,0.12
01-05-2026 20:00,1767643200,0.0695,0.15,0.185,0.185,0.195,0.12,0.12
01-05-2026 21:00,1767646800,0.0695,0.15,0.185,0.185,0.2,0.12,0.12
01-05-2026 22:00,1767650400,0.0695,0.15,0.185,0.185,0.195,0.12,0.12
