field_id,release_datetime_et,event,event_base_matched,A,C,raw_surprise
industrial_production,2011-06-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.1,0.2,-0.1
building_permits,2011-06-16 08:30:00,Building Permits,Building Permits,610000.0,550000.0,60000.0
housing_starts,2011-06-16 08:30:00,Housing Starts,Housing Starts,560000.0,540000.0,20000.0
existing_home_sales,2011-06-21 10:00:00,Existing Home Sales,Existing Home Sales,4810000.0,4780000.0,30000.0
new_home_sales,2011-06-23 10:00:00,New Home Sales,New Home Sales,319000.0,310000.0,9000.0
durable_goods,2011-06-24 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),1.9,1.6,0.2999999999999998
real_gdp_advance,2011-06-24 08:30:00,GDP (QoQ),GDP (QoQ),1.9,1.9,0.0
ism_manufacturing,2011-07-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,55.3,51.5,3.799999999999997
ism_services,2011-07-06 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,53.3,54.0,-0.7000000000000028
nonfarm_payrolls,2011-07-08 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,18000.0,89000.0,-71000.0
unemployment_rate,2011-07-08 08:30:00,Unemployment Rate,Unemployment Rate,9.2,9.1,0.09999999999999964
ppi,2011-07-14 08:30:00,PPI (MoM),PPI (MoM),-0.4,-0.2,-0.2
retail_sales,2011-07-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.1,0.0,0.1
industrial_production,2011-07-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.2,0.3,-0.09999999999999998
building_permits,2011-07-19 08:30:00,Building Permits,Building Permits,624000.0,600000.0,24000.0
housing_starts,2011-07-19 08:30:00,Housing Starts,Housing Starts,630000.0,570000.0,60000.0
existing_home_sales,2011-07-20 10:00:00,Existing Home Sales,Existing Home Sales,4770000.0,4920000.0,-150000.0
new_home_sales,2011-07-26 10:00:00,New Home Sales,New Home Sales,312000.0,320000.0,-8000.0
durable_goods,2011-07-27 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-2.1,0.4,-2.5
real_gdp_advance,2011-07-29 08:30:00,GDP (QoQ),GDP (QoQ),1.3,1.7,-0.3999999999999999
ism_manufacturing,2011-08-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,50.9,54.8,-3.8999999999999986
ism_services,2011-08-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,52.7,53.8,-1.0999999999999943
nonfarm_payrolls,2011-08-05 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,117000.0,95000.0,22000.0
